PW1	PW2	Weight	Nodes	Type
Branched-chain amino acid transport system	Glyoxylate and dicarboxylate metabolism PA01	4.0		1.0
Macrolide resistance, MacAB-TolC transporter	Hemophore/metalloprotease transport system	4.0		1.0
cellular nitrogen compound biosynthetic process- GO	Hemophore/metalloprotease transport system	4.0		1.0
Oxidative phosphorylation PA01	Ubiquinone and other terpenoid-quinone biosynthesis PA01	4.0		1.0
Oxidative phosphorylation PA01	Vitamin B6 metabolism PA01	4.0		1.0
Cyanoamino acid metabolism PA01	Hemophore/metalloprotease transport system	4.0		1.0
Degradation of aromatic compounds PA01	Bacterial secretion system PA01	3.78571428571		1.0
Aminobenzoate degradation PA01	Valine, leucine and isoleucine degradation PA01	3.63636363636		1.0
Degradation of aromatic compounds PA01	glycine betaine catabolic process- GO	3.57142857143		1.0
Branched-chain amino acid transport system	Tyrosine metabolism PA01	3.5		1.0
Glyoxylate and dicarboxylate metabolism PA01	Tyrosine metabolism PA01	3.5		1.0
polysaccharide biosynthetic process- GO	type IV pilus-dependent motility- GO	3.46153846154		1.0
Branched-chain amino acid transport system	Valine, leucine and isoleucine degradation PA01	3.25		1.0
Branched-chain amino acid transport system	Pyruvate metabolism PA01	3.25		1.0
Glyoxylate and dicarboxylate metabolism PA01	Pyruvate metabolism PA01	3.16666666667		1.0
Oxidative phosphorylation PA01	RNA degradation PA01	3.0		1.0
Folate biosynthesis PA01	Glycerophospholipid metabolism PA01	3.0		1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	Fructose and mannose metabolism PA01	3.0		1.0
Folate biosynthesis PA01	Phosphonate transport system	3.0		1.0
Folate biosynthesis PA01	Phosphonate and phosphinate metabolism PA01	3.0		1.0
Peptidoglycan biosynthesis PA01	Microcin C transport system	3.0		1.0
Valine, leucine and isoleucine degradation PA01	Glutamate/aspartate transport system	3.0		1.0
Folate biosynthesis PA01	Phosphate transport system	3.0		1.0
RNA degradation PA01	Purine metabolism PA01	3.0		1.0
Glycerolipid metabolism PA01	Fructose and mannose metabolism PA01	3.0		1.0
Degradation of aromatic compounds PA01	Butanoate metabolism PA01	3.0		1.0
Aminobenzoate degradation PA01	Butanoate metabolism PA01	3.0		1.0
Multidrug resistance, efflux pump MexGHI-OpmD	Cyanoamino acid metabolism PA01	2.85714285714		1.0
Degradation of aromatic compounds PA01	Glycine betaine/proline transport system	2.75		1.0
Aminobenzoate degradation PA01	Macrolide resistance, MacAB-TolC transporter	2.75		1.0
Bacterial secretion system PA01	type IV pilus-dependent motility- GO	2.66666666667		1.0
polysaccharide biosynthetic process- GO	Flagellar assembly PA01	2.66666666667		1.0
Branched-chain amino acid transport system	Putative polar amino acid transport system	2.6		1.0
Multidrug resistance, efflux pump MexGHI-OpmD	Type VI secretion system	2.6		1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	Flagellar assembly PA01	2.53846153846		1.0
protein secretion by the type III secretion system- GO	type IV pilus-dependent motility- GO	2.44444444444		1.0
Zinc transport system	Iron(III) transport system	2.33333333333		1.0
Multidrug resistance, efflux pump MexGHI-OpmD	Starch and sucrose metabolism PA01	2.28571428571		1.0
Cyanoamino acid metabolism PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	2.25		1.0
Glyoxylate and dicarboxylate metabolism PA01	Nitrogen metabolism PA01	2.21428571429		1.0
cellular nitrogen compound biosynthetic process- GO	Bacterial chemotaxis PA01	2.125		1.0
cellular nitrogen compound biosynthetic process- GO	Biosynthesis of siderophore group nonribosomal peptides PA01	2.11764705882		1.0
Oxidative phosphorylation PA01	Valine, leucine and isoleucine degradation PA01	2.11764705882		1.0
Putative polar amino acid transport system	Nitrogen metabolism PA01	2.11111111111		1.0
Aminobenzoate degradation PA01	Zinc transport system	2.09090909091		1.0
Glyoxylate and dicarboxylate metabolism PA01	Oxidative phosphorylation PA01	2.0625		1.0
Bacterial secretion system PA01	cellular nitrogen compound biosynthetic process- GO	2.0		1.0
Degradation of aromatic compounds PA01	Glycine, serine and threonine metabolism PA01	2.0		1.0
Sulfur metabolism PA01	Phospholipid transport system	2.0		1.0
Pentose phosphate pathway PA01	Glutathione metabolism PA01	2.0		1.0
Degradation of aromatic compounds PA01	Chlorocyclohexane and chlorobenzene degradation PA01	2.0		1.0
Sulfur metabolism PA01	Cationic antimicrobial peptide (CAMP) resistance PA01	1.94444444444		1.0
Aminobenzoate degradation PA01	Cationic antimicrobial peptide (CAMP) resistance PA01	1.91666666667		1.0
Oxidative phosphorylation PA01	Bacterial chemotaxis PA01	1.91666666667		1.0
Putative polar amino acid transport system	type IV pilus-dependent motility- GO	1.88888888889		1.0
Aminobenzoate degradation PA01	glycine betaine catabolic process- GO	1.84615384615		1.0
cellular nitrogen compound biosynthetic process- GO	Valine, leucine and isoleucine degradation PA01	1.76923076923		1.0
Aminobenzoate degradation PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	1.72413793103		1.0
Valine, leucine and isoleucine degradation PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	1.72222222222		1.0
Nitrogen metabolism PA01	Sulfur metabolism PA01	1.68421052632		1.0
Oxidative phosphorylation PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	1.68		1.0
Branched-chain amino acid transport system	Aminobenzoate degradation PA01	1.63636363636		1.0
Type VI secretion system	Biosynthesis of siderophore group nonribosomal peptides PA01	1.6		1.0
cellular nitrogen compound biosynthetic process- GO	protein secretion by the type III secretion system- GO	1.46666666667		1.0
Aminobenzoate degradation PA01	Oxidative phosphorylation PA01	1.44		1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	1.375		1.0
Dipeptide transport system	Aminobenzoate degradation PA01	1.28571428571		1.0
Glutathione metabolism PA01	Pyrimidine metabolism PA01	1.0		1.0
Glyoxylate and dicarboxylate metabolism PA01	Iron complex transport system	32.0		-1.0
Degradation of aromatic compounds PA01	Arginine and proline metabolism PA01	13.0		-1.0
Sulfur metabolism PA01	Histidine metabolism PA01	9.0		-1.0
Tyrosine metabolism PA01	Glycerolipid metabolism PA01	9.0		-1.0
Branched-chain amino acid transport system	Tyrosine metabolism PA01	8.5		-1.0
Glyoxylate and dicarboxylate metabolism PA01	Glycerolipid metabolism PA01	8.0		-1.0
Valine, leucine and isoleucine degradation PA01	Spermidine/putrescine transport system	7.0		-1.0
Iron complex transport system	Pentose phosphate pathway PA01	7.0		-1.0
glycine betaine catabolic process- GO	Histidine metabolism PA01	7.0		-1.0
Putative polar amino acid transport system	Glycerolipid metabolism PA01	6.0		-1.0
Zinc transport system	Porphyrin and chlorophyll metabolism PA01	6.0		-1.0
Macrolide resistance, MacAB-TolC transporter	Porphyrin and chlorophyll metabolism PA01	6.0		-1.0
Sulfur metabolism PA01	Glycerolipid metabolism PA01	6.0		-1.0
Flagellar assembly PA01	type IV pilus-dependent motility- GO	5.875		-1.0
Multidrug resistance, efflux pump MexGHI-OpmD	RNA degradation PA01	5.5		-1.0
Aminobenzoate degradation PA01	Glycerophospholipid metabolism PA01	5.0		-1.0
Branched-chain amino acid transport system	Glycerolipid metabolism PA01	5.0		-1.0
cellular nitrogen compound biosynthetic process- GO	Fatty acid metabolism PA01	5.0		-1.0
Sulfur metabolism PA01	Pyruvate metabolism PA01	4.5		-1.0
Sulfur metabolism PA01	Tyrosine metabolism PA01	4.4		-1.0
Glyoxylate and dicarboxylate metabolism PA01	Macrolide resistance, MacAB-TolC transporter	4.33333333333		-1.0
Branched-chain amino acid transport system	Fructose and mannose metabolism PA01	4.0		-1.0
Cyanoamino acid metabolism PA01	Nicotinate and nicotinamide metabolism PA01	4.0		-1.0
Multidrug resistance, efflux pump MexGHI-OpmD	Glutamate/aspartate transport system	4.0		-1.0
Bacterial chemotaxis PA01	Porphyrin and chlorophyll metabolism PA01	4.0		-1.0
Putative ABC transport system	Putative sorbitol/mannitol transport system	4.0		-1.0
cellular nitrogen compound biosynthetic process- GO	Nicotinate and nicotinamide metabolism PA01	4.0		-1.0
Histidine metabolism PA01	Porphyrin and chlorophyll metabolism PA01	4.0		-1.0
Branched-chain amino acid transport system	Hemophore/metalloprotease transport system	4.0		-1.0
Glyoxylate and dicarboxylate metabolism PA01	Iron(III) transport system	4.0		-1.0
Glyoxylate and dicarboxylate metabolism PA01	Zinc transport system	3.875		-1.0
Aminobenzoate degradation PA01	Phosphonate transport system	3.8		-1.0
polysaccharide biosynthetic process- GO	Flagellar assembly PA01	3.7		-1.0
Branched-chain amino acid transport system	Type VI secretion system	3.6		-1.0
Aminobenzoate degradation PA01	Phosphonate and phosphinate metabolism PA01	3.5		-1.0
Biosynthesis of siderophore group nonribosomal peptides PA01	Porphyrin and chlorophyll metabolism PA01	3.33333333333		-1.0
Oxidative phosphorylation PA01	Macrolide resistance, MacAB-TolC transporter	3.33333333333		-1.0
Glycine, serine and threonine metabolism PA01	Sulfur metabolism PA01	3.25		-1.0
glycine betaine catabolic process- GO	Tyrosine metabolism PA01	3.2		-1.0
Degradation of aromatic compounds PA01	Tyrosine metabolism PA01	3.14285714286		-1.0
Sulfur metabolism PA01	Valine, leucine and isoleucine degradation PA01	3.0		-1.0
Flagellar assembly PA01	beta-Lactam resistance PA01	3.0		-1.0
Bacterial chemotaxis PA01	Fatty acid metabolism PA01	3.0		-1.0
Iron complex transport system	Porphyrin and chlorophyll metabolism PA01	3.0		-1.0
Bacterial chemotaxis PA01	Spermidine/putrescine transport system	3.0		-1.0
response to chemical- GO	Putative sorbitol/mannitol transport system	3.0		-1.0
Folate biosynthesis PA01	Bacterial chemotaxis PA01	3.0		-1.0
protein secretion by the type III secretion system- GO	ABC-2 type transport system	3.0		-1.0
Starch and sucrose metabolism PA01	Peptidoglycan biosynthesis PA01	3.0		-1.0
Pyruvate metabolism PA01	Glycerolipid metabolism PA01	3.0		-1.0
Glutamate/aspartate transport system	Glycerolipid metabolism PA01	3.0		-1.0
Iron complex transport system	Putative sorbitol/mannitol transport system	3.0		-1.0
Ribosome PA01	Starch and sucrose metabolism PA01	3.0		-1.0
cellular nitrogen compound biosynthetic process- GO	RNA degradation PA01	3.0		-1.0
Glyoxylate and dicarboxylate metabolism PA01	Biosynthesis of siderophore group nonribosomal peptides PA01	2.95238095238		-1.0
Branched-chain amino acid transport system	Oxidative phosphorylation PA01	2.90909090909		-1.0
Degradation of aromatic compounds PA01	Multidrug resistance, efflux pump MexGHI-OpmD	2.875		-1.0
Putative polar amino acid transport system	Flagellar assembly PA01	2.85714285714		-1.0
glycine betaine catabolic process- GO	Sulfur metabolism PA01	2.83333333333		-1.0
Aminobenzoate degradation PA01	Phosphate transport system	2.83333333333		-1.0
polysaccharide biosynthetic process- GO	Bacterial secretion system PA01	2.72727272727		-1.0
Biosynthesis of siderophore group nonribosomal peptides PA01	Glycerolipid metabolism PA01	2.66666666667		-1.0
Valine, leucine and isoleucine degradation PA01	Glycerolipid metabolism PA01	2.66666666667		-1.0
Dipeptide transport system	type IV pilus-dependent motility- GO	2.66666666667		-1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	type IV pilus-dependent motility- GO	2.26315789474		-1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	Tyrosine metabolism PA01	2.2		-1.0
Degradation of aromatic compounds PA01	Cationic antimicrobial peptide (CAMP) resistance PA01	2.09523809524		-1.0
Valine, leucine and isoleucine degradation PA01	2-Oxocarboxylic acid metabolism PA01	2.0		-1.0
Glycerophospholipid metabolism PA01	Butanoate metabolism PA01	2.0		-1.0
Putative polar amino acid transport system	Arginine biosynthesis PA01	2.0		-1.0
Multidrug resistance, efflux pump MexGHI-OpmD	Pantothenate and CoA biosynthesis PA01	2.0		-1.0
Glutamate/aspartate transport system	beta-Lactam resistance PA01	2.0		-1.0
RNA degradation PA01	Vitamin B6 metabolism PA01	2.0		-1.0
Glutamate/aspartate transport system	Fructose and mannose metabolism PA01	2.0		-1.0
RNA degradation PA01	Starch and sucrose metabolism PA01	2.0		-1.0
Cationic antimicrobial peptide (CAMP) resistance PA01	Chlorocyclohexane and chlorobenzene degradation PA01	2.0		-1.0
Dipeptide transport system	Fatty acid metabolism PA01	2.0		-1.0
Aminobenzoate degradation PA01	Bacterial secretion system PA01	1.94117647059		-1.0
Oxidative phosphorylation PA01	Cyanoamino acid metabolism PA01	1.85714285714		-1.0
polysaccharide biosynthetic process- GO	Cationic antimicrobial peptide (CAMP) resistance PA01	1.7		-1.0
Aminobenzoate degradation PA01	Nitrogen metabolism PA01	1.61904761905		-1.0
Glyoxylate and dicarboxylate metabolism PA01	cellular nitrogen compound biosynthetic process- GO	1.52631578947		-1.0
Aminobenzoate degradation PA01	cellular nitrogen compound biosynthetic process- GO	1.52380952381		-1.0
Glyoxylate and dicarboxylate metabolism PA01	Cationic antimicrobial peptide (CAMP) resistance PA01	1.0		-1.0
